,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
37875,48818,20200522,forms.office.com,https://forms.office.com/Pages/ResponsePage.aspx?id=FRGudvwe8kqlNuKyRDrxoE9MdZUITtpPmE9BNuWwcthUM1gyWFpDTkVHOVhWMTRCWUJNVjZJNVdSWi4u,text/html,application/xhtml+xml,en,Microsoft Forms     Loading…,0.0,0.0,Neutral,Objective
37876,48819,20200522,forms.office.com,https://forms.office.com/favicon.ico,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37878,48822,20200522,forms.office.com,https://forms.office.com/Pages/toMathML.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37887,48834,20200522,forms.office.com,https://forms.office.com/Pages/min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37888,48836,20200522,forms.office.com,https://forms.office.com/Pages/formweekly_CD_20200520.2,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37893,48841,20200522,forms.office.com,https://forms.office.com/Pages/vendors/color-thief/color-thief.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37910,48861,20200522,forms.office.com,https://forms.office.com/Pages/vendors/combinedmin/aria_odata.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37913,48865,20200522,forms.office.com,https://forms.office.com/Pages/vendors/combinedmin/basics_osi_v2.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37914,48866,20200522,forms.office.com,https://forms.office.com/Pages/vendors/combinedmin/basics_osi_v3.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37917,48869,20200522,forms.office.com,https://forms.office.com/Pages/vendors/combinedmin/basics_v2.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37920,48872,20200522,forms.office.com,https://forms.office.com/Pages/vendors/combinedmin/basics_v3.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37923,48875,20200522,forms.office.com,https://forms.office.com/Pages/vendors/combinedmin/design_v3.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37925,48877,20200522,forms.office.com,https://forms.office.com/Pages/vendors/combinedmin/response.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37928,48880,20200522,forms.office.com,https://forms.office.com/Pages/vendors/combinedmin/response_v1.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37930,48882,20200522,forms.office.com,https://forms.office.com/Pages/vendors/combinedmin/response_v2.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37933,48885,20200522,forms.office.com,https://forms.office.com/Pages/vendors/d3/d3.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37935,48887,20200522,forms.office.com,https://forms.office.com/Pages/vendors/datatables.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37937,48889,20200522,forms.office.com,https://forms.office.com/Pages/vendors/filesaver.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37938,48890,20200522,forms.office.com,https://forms.office.com/Pages/vendors/highcharts/heatmap.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37940,48892,20200522,forms.office.com,https://forms.office.com/Pages/vendors/highcharts/highcharts-more.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37942,48894,20200522,forms.office.com,https://forms.office.com/Pages/vendors/highcharts/highcharts.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37944,48896,20200522,forms.office.com,https://forms.office.com/Pages/vendors/highcharts/pattern-fill.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37945,48897,20200522,forms.office.com,https://forms.office.com/Pages/vendors/highcharts/wordcloud.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37946,48899,20200522,forms.office.com,https://forms.office.com/Pages/vendors/mathquill/mathquill.min.js,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37947,48900,20200522,forms.office.com,https://forms.office.com/Pages/response-page-customize-fabric-bootstrap.min.css,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37948,48901,20200522,forms.office.com,https://forms.office.com/Pages/response-page.min.css,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
37949,48903,20200522,forms.office.com,https://forms.office.com/,text/html,application/xhtml+xml,en,"Microsoft Forms - Easily create surveys, quizzes, and polls.     Loading…",0.43333333333333335,0.8333333333333334,Positive,Subjective
37950,48904,20200522,forms.office.com,https://forms.office.com/PageNotFound.aspx,text/html,application/xhtml+xml,en,404 We can't find that form Go to Microsoft Forms Home,0.0,0.0,Neutral,Objective
