,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
4924,5000,20200417,widget.twnmm.com,http://widget.twnmm.com/,text/html,text/html,en,"WeatherButton Page Location 15°C Fleeting showers Weather Widget preview is displaying static data. STEP 1: Select your size STEP 2: Select up to 6 locations STEP 3: Select your optional features Width: Height: Background Font Colour Font Style Arial Calibri Baskerville Cambria Didot Garamond Georgia Palatino Helvetica Impact Optima Consolas Display Location: Search Box: Celsius Fahrenheit Widget for Wordpress: STEP 4: Get your Weather Widget Enter your email address to receive information about service updates or upgrades to our Weather Widget, or to learn about new versions of widgets (for example, golf widgets, or marine widgets). Providing your email is optional and you can withdraw your consent to receive emails from us at any time. Yes, I would like to receive emails about changes to my Weather Widget service or product upgrades. Yes, I would like to receive emails about other new Weather Widget products. I agree to the weather network Terms of use and Private Policy ACCEPT",0.12954545454545455,0.5118181818181818,Positive,Subjective
4925,5001,20200417,widget.twnmm.com,http://widget.twnmm.com/images/twn/-0.2,text/html,text/html,en,"WeatherButton Page Location 15°C Fleeting showers Weather Widget preview is displaying static data. STEP 1: Select your size STEP 2: Select up to 6 locations STEP 3: Select your optional features Width: Height: Background Font Colour Font Style Arial Calibri Baskerville Cambria Didot Garamond Georgia Palatino Helvetica Impact Optima Consolas Display Location: Search Box: Celsius Fahrenheit Widget for Wordpress: STEP 4: Get your Weather Widget Enter your email address to receive information about service updates or upgrades to our Weather Widget, or to learn about new versions of widgets (for example, golf widgets, or marine widgets). Providing your email is optional and you can withdraw your consent to receive emails from us at any time. Yes, I would like to receive emails about changes to my Weather Widget service or product upgrades. Yes, I would like to receive emails about other new Weather Widget products. I agree to the weather network Terms of use and Private Policy ACCEPT",0.12954545454545455,0.5118181818181818,Positive,Subjective
11574,11897,20200424,widget.twnmm.com,http://widget.twnmm.com/,text/html,text/html,en,"WeatherButton Page Location 15°C Fleeting showers Weather Widget preview is displaying static data. STEP 1: Select your size STEP 2: Select up to 6 locations STEP 3: Select your optional features Width: Height: Background Font Colour Font Style Arial Calibri Baskerville Cambria Didot Garamond Georgia Palatino Helvetica Impact Optima Consolas Display Location: Search Box: Celsius Fahrenheit Widget for Wordpress: STEP 4: Get your Weather Widget Enter your email address to receive information about service updates or upgrades to our Weather Widget, or to learn about new versions of widgets (for example, golf widgets, or marine widgets). Providing your email is optional and you can withdraw your consent to receive emails from us at any time. Yes, I would like to receive emails about changes to my Weather Widget service or product upgrades. Yes, I would like to receive emails about other new Weather Widget products. I agree to the weather network Terms of use and Private Policy ACCEPT",0.12954545454545455,0.5118181818181818,Positive,Subjective
11586,11909,20200424,widget.twnmm.com,http://widget.twnmm.com/images/twn/-0.2,text/html,text/html,en,"WeatherButton Page Location 15°C Fleeting showers Weather Widget preview is displaying static data. STEP 1: Select your size STEP 2: Select up to 6 locations STEP 3: Select your optional features Width: Height: Background Font Colour Font Style Arial Calibri Baskerville Cambria Didot Garamond Georgia Palatino Helvetica Impact Optima Consolas Display Location: Search Box: Celsius Fahrenheit Widget for Wordpress: STEP 4: Get your Weather Widget Enter your email address to receive information about service updates or upgrades to our Weather Widget, or to learn about new versions of widgets (for example, golf widgets, or marine widgets). Providing your email is optional and you can withdraw your consent to receive emails from us at any time. Yes, I would like to receive emails about changes to my Weather Widget service or product upgrades. Yes, I would like to receive emails about other new Weather Widget products. I agree to the weather network Terms of use and Private Policy ACCEPT",0.12954545454545455,0.5118181818181818,Positive,Subjective
14877,16077,20200504,widget.twnmm.com,http://widget.twnmm.com/,text/html,text/html,en,"WeatherButton Page Location 15°C Fleeting showers Weather Widget preview is displaying static data. STEP 1: Select your size STEP 2: Select up to 6 locations STEP 3: Select your optional features Width: Height: Background Font Colour Font Style Arial Calibri Baskerville Cambria Didot Garamond Georgia Palatino Helvetica Impact Optima Consolas Display Location: Search Box: Celsius Fahrenheit Widget for Wordpress: STEP 4: Get your Weather Widget Enter your email address to receive information about service updates or upgrades to our Weather Widget, or to learn about new versions of widgets (for example, golf widgets, or marine widgets). Providing your email is optional and you can withdraw your consent to receive emails from us at any time. Yes, I would like to receive emails about changes to my Weather Widget service or product upgrades. Yes, I would like to receive emails about other new Weather Widget products. I agree to the weather network Terms of use and Private Policy ACCEPT",0.12954545454545455,0.5118181818181818,Positive,Subjective
14879,16080,20200504,widget.twnmm.com,http://widget.twnmm.com/images/twn/-0.2,text/html,text/html,en,"WeatherButton Page Location 15°C Fleeting showers Weather Widget preview is displaying static data. STEP 1: Select your size STEP 2: Select up to 6 locations STEP 3: Select your optional features Width: Height: Background Font Colour Font Style Arial Calibri Baskerville Cambria Didot Garamond Georgia Palatino Helvetica Impact Optima Consolas Display Location: Search Box: Celsius Fahrenheit Widget for Wordpress: STEP 4: Get your Weather Widget Enter your email address to receive information about service updates or upgrades to our Weather Widget, or to learn about new versions of widgets (for example, golf widgets, or marine widgets). Providing your email is optional and you can withdraw your consent to receive emails from us at any time. Yes, I would like to receive emails about changes to my Weather Widget service or product upgrades. Yes, I would like to receive emails about other new Weather Widget products. I agree to the weather network Terms of use and Private Policy ACCEPT",0.12954545454545455,0.5118181818181818,Positive,Subjective
18717,20775,20200515,widget.twnmm.com,http://widget.twnmm.com/,text/html,text/html,en,"WeatherButton Page Location 15°C Fleeting showers Weather Widget preview is displaying static data. STEP 1: Select your size STEP 2: Select up to 6 locations STEP 3: Select your optional features Width: Height: Background Font Colour Font Style Arial Calibri Baskerville Cambria Didot Garamond Georgia Palatino Helvetica Impact Optima Consolas Display Location: Search Box: Celsius Fahrenheit Widget for Wordpress: STEP 4: Get your Weather Widget Enter your email address to receive information about service updates or upgrades to our Weather Widget, or to learn about new versions of widgets (for example, golf widgets, or marine widgets). Providing your email is optional and you can withdraw your consent to receive emails from us at any time. Yes, I would like to receive emails about changes to my Weather Widget service or product upgrades. Yes, I would like to receive emails about other new Weather Widget products. I agree to the weather network Terms of use and Private Policy ACCEPT",0.12954545454545455,0.5118181818181818,Positive,Subjective
18718,20776,20200515,widget.twnmm.com,https://widget.twnmm.com/images/twn/-0.2,text/html,text/html,en,"WeatherButton Page Location 15°C Fleeting showers Weather Widget preview is displaying static data. STEP 1: Select your size STEP 2: Select up to 6 locations STEP 3: Select your optional features Width: Height: Background Font Colour Font Style Arial Calibri Baskerville Cambria Didot Garamond Georgia Palatino Helvetica Impact Optima Consolas Display Location: Search Box: Celsius Fahrenheit Widget for Wordpress: STEP 4: Get your Weather Widget Enter your email address to receive information about service updates or upgrades to our Weather Widget, or to learn about new versions of widgets (for example, golf widgets, or marine widgets). Providing your email is optional and you can withdraw your consent to receive emails from us at any time. Yes, I would like to receive emails about changes to my Weather Widget service or product upgrades. Yes, I would like to receive emails about other new Weather Widget products. I agree to the weather network Terms of use and Private Policy ACCEPT",0.12954545454545455,0.5118181818181818,Positive,Subjective
44582,55621,20200522,widget.twnmm.com,http://widget.twnmm.com/,text/html,text/html,en,"WeatherButton Page Location 15°C Fleeting showers Weather Widget preview is displaying static data. STEP 1: Select your size STEP 2: Select up to 6 locations STEP 3: Select your optional features Width: Height: Background Font Colour Font Style Arial Calibri Baskerville Cambria Didot Garamond Georgia Palatino Helvetica Impact Optima Consolas Display Location: Search Box: Celsius Fahrenheit Widget for Wordpress: STEP 4: Get your Weather Widget Enter your email address to receive information about service updates or upgrades to our Weather Widget, or to learn about new versions of widgets (for example, golf widgets, or marine widgets). Providing your email is optional and you can withdraw your consent to receive emails from us at any time. Yes, I would like to receive emails about changes to my Weather Widget service or product upgrades. Yes, I would like to receive emails about other new Weather Widget products. I agree to the weather network Terms of use and Private Policy ACCEPT",0.12954545454545455,0.5118181818181818,Positive,Subjective
44604,55643,20200522,widget.twnmm.com,https://widget.twnmm.com/images/twn/-0.2,text/html,text/html,en,"WeatherButton Page Location 15°C Fleeting showers Weather Widget preview is displaying static data. STEP 1: Select your size STEP 2: Select up to 6 locations STEP 3: Select your optional features Width: Height: Background Font Colour Font Style Arial Calibri Baskerville Cambria Didot Garamond Georgia Palatino Helvetica Impact Optima Consolas Display Location: Search Box: Celsius Fahrenheit Widget for Wordpress: STEP 4: Get your Weather Widget Enter your email address to receive information about service updates or upgrades to our Weather Widget, or to learn about new versions of widgets (for example, golf widgets, or marine widgets). Providing your email is optional and you can withdraw your consent to receive emails from us at any time. Yes, I would like to receive emails about changes to my Weather Widget service or product upgrades. Yes, I would like to receive emails about other new Weather Widget products. I agree to the weather network Terms of use and Private Policy ACCEPT",0.12954545454545455,0.5118181818181818,Positive,Subjective
